"id","source","profileId","sessionId","heuristic","dataProcessingConsent","attentionCheckFailures","dataUsableForResearch","createdAt"
"4d9d9d13-0118-4ae1-a351-54638e8c53d7","PROLIFIC","6397bcc95a5e903a262566bb","63a2800d48cebad030d9c2db","CONTROL",True,0,True,"2022-12-21 03:40:06.437"
"bb52b7c2-7c59-4153-86ae-f7d18f8be190","PROLIFIC","5fe18e1c8929f0c2a41e43d8","63a2803afabea954a04d09f9","BIAS_BAR",True,0,True,"2022-12-21 03:40:46.444"
"5e2aae0c-e56f-446c-8410-5732036286fc","PROLIFIC","59d3b5239e5232000164bbef","63a27de6b6a9053294614885","POLITICAL",True,0,True,"2022-12-21 03:30:57.652"
"7b898db1-dcfc-4856-8d89-8136c09421a4","PROLIFIC","559b1e92fdf99b426abb6227","63a27ee4ea760354e18523fe","BIAS_GAUGE",True,0,True,"2022-12-21 03:35:08.063"
"2ef8f759-9336-4b2c-bbdb-a55347d092e3","PROLIFIC","628270e095732de2fb39cc2a","63a27eaff9ca4c8cec1b5ffb","POLITICAL",True,0,True,"2022-12-21 03:34:13.274"
"8509d042-2e3d-4dcb-b842-add399a4578d","PROLIFIC","636173dce29cfc5dbc14d0f2","63a28017fdde6e98d3a3dd9a","BIAS_HIGH",True,0,True,"2022-12-21 03:40:11.478"
"a67c2ac8-e227-407f-86be-36bfc1ff9306","PROLIFIC","6314d97aa02af651ea1a9591","63a27e62b3da4e1bd428a41e","TRUST",True,0,True,"2022-12-21 03:32:55.748"
"7acf5968-c8c8-4d8f-908b-12fa62e2f255","PROLIFIC","5c69f9dd4b5bb30001b3d31c","63a2801790278587494d09c8","POLITICAL",True,0,False,"2022-12-21 03:40:09.828"
"b3b26a1d-20e0-43f7-a13e-f27281149f00","PROLIFIC","6148c0a6e2353cbbac1cd506","63a27cc7c5beb886a4852451","BIAS_HIGH",True,0,True,"2022-12-21 03:26:06.24"
"926ed46c-011a-4106-827f-54e843a300d1","PROLIFIC","62ba10d2cd9577af0d8744bb","63a2803ee0f876d8fb39f648","BIAS_GAUGE",True,0,False,"2022-12-21 03:40:50.054"
"6be50190-341b-4ad7-ba7e-21c973ee5a54","PROLIFIC","5cb128db0d14d3001838eef5","63a2806317105e36e1c8491d","BIAS_GAUGE",True,0,True,"2022-12-21 03:41:29.927"
"5a126b59-c1c6-41ed-8304-58b6ebb20915","PROLIFIC","62b5ea86c27a56a257dffc82","63a28213c64fbec4843130c6","BIAS_GAUGE",True,0,True,"2022-12-21 03:48:40.075"
"43f7567b-4e42-40f4-b005-9e0265670f04","PROLIFIC","62959d1553cc14e98f4b8d78","63a280ecb89b7898347bfb33","TRUST",True,0,True,"2022-12-21 03:44:06.148"
"0cb77ca2-5502-41a8-ab06-0b7c48149f08","PROLIFIC","60c056b358621c438c04df78","63a2813393f4efa52b424189","SENTIMENT",True,0,True,"2022-12-21 03:45:29.736"
"59fcaa7a-531c-4447-bd8f-2f096163b572","PROLIFIC","62e19208352cd518d7b2f085","63a2804721480c9245e593be","TRUST",True,1,True,"2022-12-21 03:41:54.73"
"6b53b357-5198-428a-9eff-d07aa243b5e7","PROLIFIC","6272a2aa8913393f023d5f45","63a280a3b0557e57a5e593b7","SENTIMENT",True,0,True,"2022-12-21 03:42:31.084"
"bb6fa50f-4bf4-4c9d-ac59-4cd104b0b771","PROLIFIC","5dfc64647adf4b971f329cbf","63a280d7e81c8339bfeebe0b","SENTIMENT",True,0,True,"2022-12-21 03:43:21.578"
"a5bfdb54-ad67-4692-a023-9a0e3bed183b","PROLIFIC","5b6545f19ed653000189a3a4","63a281ed4fa91e548500e7e6","SENTIMENT",True,0,True,"2022-12-21 03:48:02.054"
"5cf4dd9f-9ded-484e-b617-d6e14800b1a7","PROLIFIC","5a8b3fa3b093f80001a80576","63a281d60c4e7900ea9062ae","BIAS_BAR",True,0,True,"2022-12-21 03:47:38.541"
"f9fee925-3605-406f-953c-3d41b88e7767","PROLIFIC","5de7ca192294f172c699b7dc","63a280ea37ace10923223f1f","CONTROL",True,0,True,"2022-12-21 03:43:47.875"
"474b7a4a-5397-40b4-9871-d2428714d626","PROLIFIC","5dceb9be381b67000e061142","63a2810295ac7e835e39f636","SENTIMENT",True,0,True,"2022-12-21 03:44:08.519"
"917088d5-9e47-4a7f-bc4c-ca5355801f02","PROLIFIC","62cf6b6df766eafbd3f5a176","63a2807eb51f6266ce9062a7","SENTIMENT",True,0,False,"2022-12-21 03:41:54.309"
"e5d2eae7-b28b-4752-8ad7-fe21069fd636","PROLIFIC","5b5c8d4e10aec90001ed4bee","63a2806459cfccc33092ab00","CONTROL",True,0,False,"2022-12-21 03:41:27.92"
"7377466d-fc42-4df1-9429-07886768cd10","PROLIFIC","5cfb5233df7d70001619ca90","63a28078e0f876d8fb39f64d","SENTIMENT",True,0,True,"2022-12-21 03:41:49.128"
"6488784d-0ce6-4f09-89d0-26ee3894a41f","PROLIFIC","6111c4865701e1ba367af3e3","63a280ee05c32a3422e24874",NULL,True,0,False,"2022-12-21 03:43:47.115"
"9d1e1fde-babd-42bf-a400-04c5fff771ee","PROLIFIC","6170c67b4478c864785f0925","63a2803e031949d5bca3dd8f","BIAS_GAUGE",True,0,True,"2022-12-21 03:40:50.761"
"0b9ff3ca-cc38-42e7-b7e1-b4e743ebd590","PROLIFIC","5b5a822e1ad8270001c4f28d","63a2810b6b5e8e23ae28a46d",NULL,False,0,False,"2022-12-21 03:44:13.729"
"7f62c486-98ed-4b4c-a08f-49860b891eeb","PROLIFIC","5ef98087540ce971a8fb4280","63a280eade0e57f7d40d5f07","CONTROL",True,0,True,"2022-12-21 03:43:45.426"
"d4f10d84-e3f9-4e91-8958-d487e7a98e9c","PROLIFIC","5f09dc236c0c092729a73d9b","63a28022f88f2c4f05ac1de9","CONTROL",True,0,True,"2022-12-21 03:41:07.212"
"251e12ad-9b99-4e69-a635-1610f2fd82b0","PROLIFIC","5f49f3262a3d07563d14a7f1","63a2811705c32a3422e24875","POLITICAL",True,0,True,"2022-12-21 03:44:32.136"
"7a06b581-ccf8-4df7-bc8b-005101d6a70e","PROLIFIC","6117efedb574017076d5b499","63a28091cc5283c2c8e1a61b","POLITICAL",True,0,True,"2022-12-21 03:42:19.834"
"e4db4ed0-d0f2-4fb4-a2c8-064a9c599df6","PROLIFIC","629e112d75f3665c8362ab6f","63a281b15de027f78fac1e35","POLITICAL",True,0,True,"2022-12-21 03:47:02.195"
